"SampleID","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD","funkring"
"TW-1-146-2","TW","1","1-146","2",65,1996,0.630000000000005,0.540000000000001,0.0899999999999983,0.2,388.365873015873,327.44,532.1,385.10037037037,407.958888888889,0
"TW-1-146-2","TW","1","1-146","2",66,1997,0.98999999999999,0.87999999999999,0.109999999999994,0.3,384.617676767677,294.28,664.11,353.186022727273,636.070909090909,0
"TW-1-146-2","TW","1","1-146","2",67,1998,1.48000000000001,1.33000000000001,0.150000000000015,0.45,339.641148648649,257.22,567.65,318.162105263158,530.088666666667,0
"TW-1-146-2","TW","1","1-146","2",68,1999,1.35,1.26,0.0900000000000125,0.46,361.852222222222,279.62,626.12,345.019206349206,597.514444444444,0
"TW-1-146-2","TW","1","1-146","2",69,2000,0.579999999999993,0.479999999999999,0.100000000000003,0.16,353.401896551724,268.89,550.52,344.842291666667,394.488,0
"TW-1-146-2","TW","1","1-146","2",70,2001,0.909999999999977,0.820000000000002,0.0899999999999841,0.16,357.225934065934,286.03,580.7,336.230487804878,548.517777777778,0
"TW-1-146-2","TW","1","1-146","2",71,2002,0,0,0,NA,NA,NA,NA,NA,NA,0
"TW-1-146-2","TW","1","1-146","2",72,2003,0.589999999999984,0.449999999999998,0.139999999999995,0.08,333.099830508475,259.75,506.24,321.955111111111,368.922142857143,0
"TW-1-146-2","TW","1","1-146","2",73,2004,0.379999999999976,0.309999999999983,0.0699999999999738,0.14,340.565789473684,291.34,412.34,331.652580645161,380.038571428571,0
"TW-1-146-2","TW","1","1-146","2",74,2005,0.999999999999981,0.899999999999986,0.099999999999975,0.13,362.4776,266.21,625.86,336.517555555556,596.118,0
"TW-1-146-2","TW","1","1-146","2",75,2006,0.419999999999997,0.290000000000001,0.130000000000005,0.09,437.720476190476,314.07,575.14,399.018620689655,524.055384615385,0
