site,species,stand,stand_old,plot,treatment,tree,dbh_in,ht,hcb,velocity,tree_ba,cr,ba_plot,ba_all,ba_plot_PP,ba
FT,PIPO,7,9,1,120,17,11.4,NA,NA,3.844,0.70880184,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,8,12.9,57.2,32.7,3.869,0.90760014,0.428321678,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,13,10.9,52.5,13.5,3.913,0.64798974,0.742857143,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,19,13.1,67.2,40.6,4.06,0.93596094,0.395833333,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,5,10.5,58.8,33.4,4.214,0.6013035,0.431972789,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,2,120,8,6,26,9.8,2.729,0.196344,0.623076923,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,4,12.7,NA,NA,2.904,0.87967566,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,11,11.1,NA,NA,3.27,0.67198734,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,12,11.5,NA,NA,3.517,0.7212915,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,1,13.3,50.3,19.9,3.547,0.96475806,0.604373757,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,9,14.6,NA,NA,3.651,1.16257464,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,7,18.1,NA,NA,3.786,1.78678494,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,14,13.3,45.1,20.9,3.788,0.96475806,0.536585366,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,2,10.3,43.1,NA,3.811,0.57861486,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,5,13.6,61.7,33,3.822,1.00877184,0.465153971,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,10,11.2,59.8,30.8,4.046,0.68414976,0.484949833,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,3,11.7,61.7,22.2,4.118,0.74659806,0.640194489,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,13,11.9,58,29.8,4.151,0.77234094,0.486206897,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,2,120,6,11.9,NA,NA,4.221,0.77234094,NA,119.109906,130.2011604,119.109906,125.5470804
FT,PIPO,7,9,3,120,9,7.3,38.9,20.4,3.106,0.29064366,0.475578406,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,8,12.1,50.2,26.5,3.222,0.79852014,0.472111554,128.4324282,130.2011604,128.4324282,125.5470804
