"TestID","SampleID","SiteID","PlotID","TreeID","Blank.Num","Failure","Drop","Quality","Velocity","MOR","MOE","MC","Dens","Ring","RPI","MOEd","Pith.Dist","Tree.Vel","CrownRatio","DBH","BA","GSL","Length","Width","Depth","WeightFullPiece","WeightAfterTest","WeightOD","Max.Load","PPL.Limit","PPL.Distance","Flitch.Max.Ring","Blank.Min.Ring","Blank.Max.Ring","Clear.Adj","HT","CBH","HT.2016","DBH.2016"
279,"TW-15-139-1","TW","15","15-139",1,3,"N",2,4180,31.888265,2.09041281681419,13.2790591374603,0.623444659277703,3.5,5.09090909090909,10893.0744647637,0.6875,3.29,0.584134453863796,16.6,74.8590588,60,15.989,1.008,1,166.537,91.696,80.947,222,141.2,0.321,82,0,7,0.25,59.87512125336,24.9,60.6,17.4015748031496
280,"TW-15-139-2","TW","15","15-139",2,1,"N",2,5407,45.8835886961814,2.71539720438379,11.8403887965213,0.503217576949521,14,7.27272727272727,14711.8924503267,2.0625,3.29,0.584134453863796,16.6,74.8590588,60,16,0.998,0.998,131.226,131.172,117.285,315,131.2,0.23,82,9,19,0.35,59.87512125336,24.9,60.6,17.4015748031496
281,"TW-15-139-3","TW","15","15-139",3,1,"N",1,4162,74.0767838730261,5.77825444920839,12.241779629187,0.503159405140922,29,11.6363636363636,8715.84998674591,3.4375,3.29,0.584134453863796,16.6,74.8590588,60,16,1.001,0.994,131.548,131.489,117.148,506,254,0.212,82,21,37,0.2,59.87512125336,24.9,60.6,17.4015748031496
282,"TW-15-139-4","TW","15","15-139",4,2,"N",1,4531,76.6265150965307,6.13664794530237,11.5502533859943,0.475773211655091,46,10.1818181818182,9767.60548012377,4.8125,3.29,0.584134453863796,16.6,74.8590588,60,16,1,0.996,123.747,123.707,110.898,525,256,0.1988,82,39,53,0,59.87512125336,24.9,60.6,17.4015748031496
283,"TW-15-139-5","TW","15","15-139",5,1,"N",2,4582,70.7287942558644,6.47157805861713,12.070615470147,0.468384639717514,66,17.4545454545455,9833.60623670865,6.1875,3.29,0.584134453863796,16.6,74.8590588,60,16,1.003,0.998,123.007,122.965,109.721,488,271,0.1988,82,54,78,0,59.87512125336,24.9,60.6,17.4015748031496
127,"TW-15-36-1","TW","15","15-36",1,3,"N",2,2920,55.3771859799994,3.2421961772364,8.60789438540932,0.4859327903293,7.5,10.9090909090909,4143.25734346375,0.6875,3.23,0.553944885625283,15.1,74.8590588,60,16,0.993,0.995,122.073,56.929,52.417,376,163.8,0.236,77,0,15,0.65,55.15013550396,24.6,61.3,16.6535433070866
126,"TW-15-36-2","TW","15","15-36",2,3,"Y",3,5985,43.6829195312264,3.51096745881426,11.5914263869726,0.491473102469106,25,11.6363636363636,17604.6771118914,2.0625,3.23,0.553944885625283,15.1,74.8590588,60,16,0.997,0.992,126.982,126.981,113.791,296,171.2,0.236,77,17,33,0,55.15013550396,24.6,61.3,16.6535433070866
125,"TW-15-36-3","TW","15","15-36",3,2,"N",3,3934,60.604334240868,5.32865794431461,10.9774479679981,0.449221350785864,41.5,9.45454545454546,6952.30954756291,3.4375,3.23,0.553944885625283,15.1,74.8590588,60,15.938,0.999,0.989,114.862,114.855,103.494,409,220,0.2,77,35,48,0,55.15013550396,24.6,61.3,16.6535433070866
284,"TW-15-36-4","TW","15","15-36",4,2,"N",2,4512,68.8652745074627,6.01065450492631,11.8320155747149,0.428034721382952,56.5,12.3636363636364,8713.99249491401,4.8125,3.23,0.553944885625283,15.1,74.8590588,60,16,1.005,1,112.62,112.588,100.676,478,251,0.1962,77,48,65,0,55.15013550396,24.6,61.3,16.6535433070866
124,"TW-15-76-1","TW","15","15-76",1,3,"N",2,3569,72.6847705165024,5.10235989383557,9.76592323061678,0.519705123327185,7.5,10.9090909090909,6619.8796514172,0.6875,3.84,0.558677126292904,15,74.8590588,60,16,0.994,0.997,132.347,67.573,61.561,496,250,0.23,86,0,15,0,54.835136454,24.2,66.1,16.2992125984252
130,"TW-15-76-2","TW","15","15-76",2,2,"N",1,4727,84.414290445478,7.55593664023628,10.3459373965498,0.469713525859594,28,17.4545454545455,10495.5275002619,2.0625,3.84,0.558677126292904,15,74.8590588,60,16,0.997,0.992,120.006,119.999,108.748,572,332,0.21,86,16,40,0.25,54.835136454,24.2,66.1,16.2992125984252
163,"TW-15-76-3","TW","15","15-76",3,2,"N",1,4933,79.2616535564272,8.48003848105938,12.0232613600924,0.458943932207663,48.5,10.9090909090909,11168.1660699241,3.4375,3.84,0.558677126292904,15,74.8590588,60,16,1.009,1.006,122.169,122.13,109.022,559,260,0.1412,86,41,56,0,54.835136454,24.2,66.1,16.2992125984252
285,"TW-15-76-4","TW","15","15-76",4,2,"N",1,4907,82.8179651228823,8.03884783389247,11.9429179223542,0.479614569836599,64.5,9.45454545454546,11548.4708823815,4.8125,3.84,0.558677126292904,15,74.8590588,60,16,1.003,1.002,126.317,126.294,112.82,576,296,0.1725,86,58,71,0,54.835136454,24.2,66.1,16.2992125984252
381,"TW-16-34-1","TW","16","16-34",1,3,"N",2,2975,52.0286806429501,3.40082537948089,10.5182203694387,0.559744472264726,7,10.1818181818182,4954.08841983799,0.6875,3.43,0.738805970149254,19.4,55.9505862,30,16,1.015,0.999,146.846,76.882,69.565,364,226,0.306,86,0,14,0.1,67,17.5,71.2,20.748031496063
382,"TW-16-34-2","TW","16","16-34",2,1,"N",1,4624,80.0352908951088,6.57731500644746,12.6291530302771,0.499360332411707,27.5,15.2727272727273,10677.0110267797,2.0625,3.43,0.738805970149254,19.4,55.9505862,30,16,1.003,0.996,131.531,131.463,116.722,550,255,0.1862,86,17,38,0,67,17.5,71.2,20.748031496063
383,"TW-16-34-3","TW","16","16-34",3,1,"N",1,4697,89.1455263684735,8.62762665560421,12.1641554321967,0.540349188282968,45.5,8,11921.0805852039,3.4375,3.43,0.738805970149254,19.4,55.9505862,30,16,1,0.997,141.458,141.439,126.1,612,318,0.1762,86,40,51,0.2,67,17.5,71.2,20.748031496063
384,"TW-16-34-4","TW","16","16-34",4,1,"N",1,4429,83.6546902141573,7.87716733951229,12.0732046587517,0.553201155468282,57,5.81818181818182,10851.6165469132,4.8125,3.43,0.738805970149254,19.4,55.9505862,30,16.031,1.012,1.013,149.08,149.054,132.997,600,302,0.1725,86,53,61,0.25,67,17.5,71.2,20.748031496063
385,"TW-16-34-5","TW","16","16-34",5,1,"N",3,4545,79.557348605844,7.78089291774785,12.0452217757819,0.525893872601111,69,8.72727272727273,10863.402873668,6.1875,3.43,0.738805970149254,19.4,55.9505862,30,16.031,1.014,1.015,142.246,142.219,126.93,574,242,0.1388,86,63,75,0,67,17.5,71.2,20.748031496063
367,"TW-16-44-1","TW","16","16-44",1,1,"Y",3,4362,40.0510331458017,2.460029787732,10.8112993183227,0.668431610959032,3,4.36363636363636,12718.2776727084,0.6875,3.18,0.753333333333333,21.8,55.9505862,30,16.031,1.001,1.002,174.257,85.83,77.456,278,167.5,0.316,85,0,6,0,75,18.5,79.6,23.4251968503937
