"density"	"ring"	"newring"	"mm"	"cutoff"	"newEorL"	"boundary1"	"boundary2"
417.78	2	2	3.52999999999998	486.42	"EW"	3.91	"4.15"
409.52	2	2	3.54	486.42	"EW"	3.91	"4.15"
398.34	2	2	3.54999999999999	486.42	"EW"	3.91	"4.15"
398.69	2	2	3.55999999999998	486.42	"EW"	3.91	"4.15"
394.43	2	2	3.57	486.42	"EW"	3.91	"4.15"
421.66	2	2	3.57999999999999	486.42	"EW"	3.91	"4.15"
432.38	2	2	3.58999999999998	486.42	"EW"	3.91	"4.15"
412.59	2	2	3.6	486.42	"EW"	3.91	"4.15"
436.65	2	2	3.60999999999999	486.42	"EW"	3.91	"4.15"
440.49	2	2	3.61999999999999	486.42	"EW"	3.91	"4.15"
436.83	2	2	3.63	486.42	"EW"	3.91	"4.15"
425.81	2	2	3.64	486.42	"EW"	3.91	"4.15"
422.54	2	2	3.64999999999999	486.42	"EW"	3.91	"4.15"
444.96	2	2	3.66000000000001	486.42	"EW"	3.91	"4.15"
451.69	2	2	3.67	486.42	"EW"	3.91	"4.15"
416.99	2	2	3.67999999999999	486.42	"EW"	3.91	"4.15"
436.65	2	2	3.69000000000001	486.42	"EW"	3.91	"4.15"
445.59	2	2	3.7	486.42	"EW"	3.91	"4.15"
451.34	2	2	3.70999999999999	486.42	"EW"	3.91	"4.15"
435.14	2	2	3.71999999999998	486.42	"EW"	3.91	"4.15"
453.14	2	2	3.73	486.42	"EW"	3.91	"4.15"
465.25	2	2	3.73999999999999	486.42	"EW"	3.91	"4.15"
450.08	2	2	3.74999999999998	486.42	"EW"	3.91	"4.15"
441.02	2	2	3.76	486.42	"EW"	3.91	"4.15"
437.27	2	2	3.76999999999999	486.42	"EW"	3.91	"4.15"
414.43	2	2	3.77999999999998	486.42	"EW"	3.91	"4.15"
451.78	2	2	3.79	486.42	"EW"	3.91	"4.15"
434.69	2	2	3.79999999999999	486.42	"EW"	3.91	"4.15"
438.17	2	2	3.80999999999998	486.42	"EW"	3.91	"4.15"
442.36	2	2	3.82	486.42	"EW"	3.91	"4.15"
454.31	2	2	3.82999999999999	486.42	"EW"	3.91	"4.15"
468.88	2	2	3.83999999999998	486.42	"EW"	3.91	"4.15"
473.16	2	2	3.85	486.42	"EW"	3.91	"4.15"
470.16	2	2	3.85999999999999	486.42	"EW"	3.91	"4.15"
