[SAMPLE PARAMETERS]
Time/Date of Scan,          28-Feb-2018   16:16:19
Study ID,                   WQA
Sample ID,                  TW-1-44-2
File Name,                  TW-1-44-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
  510,   8.450, 420.76, 84,E, 5.6439
  511,   8.460, 407.04, 84,E, 5.6955
  512,   8.470, 382.57, 84,E, 5.7886
  513,   8.480, 397.28, 84,E, 5.7324
  514,   8.490, 412.95, 84,E, 5.6732
  515,   8.500, 389.75, 84,E, 5.7611
  516,   8.510, 354.82, 84,E, 5.8960
  517,   8.520, 375.03, 84,E, 5.8176
  518,   8.530, 384.56, 84,E, 5.7809
  519,   8.540, 379.31, 84,E, 5.8011
  520,   8.550, 358.73, 84,E, 5.8807
  521,   8.560, 342.22, 84,E, 5.9454
  522,   8.570, 357.64, 84,E, 5.8850
  523,   8.580, 364.30, 84,E, 5.8591
  524,   8.590, 355.45, 84,E, 5.8936
  525,   8.600, 332.03, 84,E, 5.9857
  526,   8.610, 365.48, 84,E, 5.8545
  527,   8.620, 382.89, 84,E, 5.7874
  528,   8.630, 340.60, 84,E, 5.9518
  529,   8.640, 329.42, 84,E, 5.9961
  530,   8.650, 335.27, 84,E, 5.9729
  531,   8.660, 372.82, 84,E, 5.8261
